Gene,Label,Func_likelihood,Fam_size,Max_id_paralog,WGD_alpha,WGD_beta_gamma,Dup_recent,Dup_tandem,Singleton,Max_PCC_GM_abiotic,Max_PCC_SM_abiotic,Max_PCC_GM_biotic,Max_PCC_SM_biotic,Max_PCC_GM_hormone,Max_PCC_SM_hormone,Expr_med_dev,Expr_max_dev,Expr_breadth_dev
AT1G78900,GM,1,8,84.21,0,1,0,0,0,0.836,0.702,0.821,0.739,0.776,0.758,3228.28143,4541.153663,64
AT1G01220,GM,0.98,1,,0,0,0,0,0,0.758,0.694,0.805,0.809,0.924,0.83,170.3383957,408.7678097,62
AT1G63290,GM,0.98,3,92.86,1,0,0,0,0,0.762,0.704,0.784,0.732,0.773,0.794,319.6233405,559.2401369,64
AT4G14910,GM,1,2,81.54,0,0,,,,0.852,0.781,0.957,0.879,0.833,0.733,329.9231901,745.4570521,64
AT3G58180,GM,0.96,3,56.76,0,0,0,0,0,0.641,0.475,0.763,0.612,0.882,0.648,220.83693,306.012962,64
AT1G80600,GM,1,9,31.82,1,1,0,0,0,0.769,0.583,0.915,0.801,0.932,0.757,1081.98916,2096.499383,64
AT5G63570,GM,1,9,89.87,1,0,0,0,0,0.852,0.67,0.856,0.859,0.916,0.796,736.1314672,3234.349393,64
AT5G37510,GM,1,1,,0,1,,,,0.795,0.721,0.905,0.784,0.798,0.76,912.4551163,1717.78296,64
AT2G31490,GM,1,1,,0,0,,,,0.827,0.712,0.875,0.798,0.905,0.807,2180.184391,4012.698122,64
AT2G37500,GM,,1,,0,0,0,0,0,0.819,0.732,0.97,0.917,0.898,0.814,241.5097838,464.5336875,60
AT3G55010,GM,1,1,,0,0,0,0,0,0.89,0.606,0.872,0.675,0.894,0.775,295.4825998,968.319799,61
AT5G23300,GM,,1,,NA,NA,0,0,0,0.919,0.698,0.922,0.912,0.927,0.813,128.2936255,476.2297823,64
AT1G47260,GM,1,5,78.41,0,0,0,0,0,0.783,0.748,0.865,0.745,0.844,0.699,1658.741225,2771.896031,64
AT4G32520,GM,1,7,59.36,1,1,0,0,0,0.88,0.536,0.943,0.856,0.904,0.697,484.8604292,1087.634738,64
AT5G67590,GM,1,1,,1,0,0,0,0,0.827,0.585,0.924,0.836,0.947,0.906,1681.49381,3667.63486,64
AT3G55440,GM,1,2,59.92,0,0,0,0,1,0.752,0.691,0.771,0.701,0.864,0.79,6981.369977,11095.44139,64
AT1G71750,GM,1,1,,NA,NA,,,,0.868,0.576,0.836,0.694,0.803,0.586,63.12489635,160.9706512,62
AT5G13450,GM,0.949,2,23.89,0,0,0,0,0,0.842,0.667,0.886,0.755,0.968,0.865,2218.073582,3568.204882,64
AT5G20040,GM,0.99,1,42.27,0,0,,,,0.906,0.742,0.923,0.871,0.878,0.704,120.7408616,405.7760254,64
AT2G20860,GM,0.99,2,59.72,0,0,0,0,1,0.802,0.721,0.92,0.741,0.876,0.615,1182.794648,4411.479667,64
AT3G04080,GM,1,7,78.44,0,0,0,0,0,0.612,0.354,0.921,0.826,0.877,0.687,138.2311559,722.054109,64
AT2G25710,GM,0.98,2,87.23,0,0,0,0,0,0.704,0.696,0.846,0.677,0.865,0.838,284.0598594,607.7256773,64
AT5G58250,GM,1,1,,0,0,,0,0,0.927,0.752,0.961,0.933,0.945,0.87,858.2324545,3149.12271,64
AT3G42050,GM,0.975,1,,1,0,0,0,0,0.659,0.655,0.868,0.76,0.857,0.705,1637.815,2576.120084,64
AT5G08530,GM,0.994,1,,1,0,0,0,0,0.652,0.577,0.885,0.86,0.872,0.817,1550.323557,2616.798786,64
AT1G23820,GM,,4,86.39,0,0,0,0,0,0.843,0.733,0.824,0.755,0.857,0.836,1376.564189,2214.152092,64
AT2G36530,GM,1,3,68.05,1,0,0,0,0,0.788,0.646,0.872,0.874,0.879,0.799,6188.689631,11763.28678,64
AT5G63910,GM,1,1,,1,0,0,0,0,0.812,0.71,0.844,0.796,0.836,0.74,133.9576625,272.4845278,64
AT4G36480,GM,1,5,26.89,1,1,0,0,0,0.763,0.665,0.85,0.858,0.793,0.67,164.5270211,322.3373544,64
AT3G10050,GM,1,2,34.19,1,1,0,0,1,0.919,0.73,0.888,0.815,0.891,0.676,297.7452784,982.942681,64
AT2G01140,GM,0.98,8,74.37,0,1,0,0,0,0.774,0.701,0.83,0.754,0.941,0.837,1096.09019,4383.360227,64
AT1G73250,GM,0.99,3,86.5,0,0,0,0,0,0.666,0.604,0.827,0.871,0.828,0.682,82.65644944,1108.368961,64
AT3G12260,GM,,1,,0,0,,,,0.839,0.728,0.899,0.781,0.911,0.834,2202.812039,4005.861177,64
AT3G47450,GM,,3,27.4,0,0,0,0,0,0.89,0.798,0.925,0.904,0.866,0.585,157.986491,483.9203876,55
AT4G04870,GM,,1,27.36,0,1,0,0,1,0.807,0.619,0.645,0.592,0.789,0.632,272.1705777,3046.33011,64
AT3G53580,GM,1,1,,1,1,0,0,0,0.934,0.778,0.882,0.834,0.901,0.792,779.3010715,1364.20169,64
AT5G08340,GM,0.82,2,66.49,0,0,0,0,0,0.824,0.654,0.779,0.732,0.736,0.733,94.73686392,211.7606717,64
AT3G22425,GM,1,2,81.35,0,0,,,,0.726,0.729,0.857,0.742,0.831,0.827,106.3471559,231.1337067,61
AT1G29900,GM,0.86,1,27.54,1,0,0,0,0,0.844,0.583,0.899,0.857,0.919,0.754,1238.723382,3174.244935,64
AT4G05450,GM,,2,76.14,1,1,0,0,0,0.769,0.516,0.625,0.599,0.884,0.698,164.9602614,297.749748,64
AT5G48840,GM,1,1,,NA,NA,,0,0,0.868,0.794,0.842,0.815,0.791,0.808,134.4115351,221.6711362,64
AT2G13360,GM,0.99,1,,NA,NA,0,0,0,0.77,0.741,0.913,0.929,0.877,0.81,5209.622539,13080.45432,64
AT5G61410,GM,1,3,40.55,1,0,0,0,0,0.825,0.796,0.956,0.927,0.825,0.689,3630.238695,7900.125957,64
AT3G09820,GM,1,4,92.42,1,1,0,0,0,0.784,0.531,0.893,0.817,0.956,0.916,1720.586798,3369.760447,64
AT3G14930,GM,1,2,51.37,1,1,0,0,0,0.911,0.807,0.967,0.958,0.863,0.764,302.55222,2236.781239,64
AT5G14850,GM,0.96,2,26.79,1,1,0,0,0,0.808,0.643,0.816,0.775,0.791,0.818,95.82104767,157.3121127,64
AT1G43710,GM,0.875,1,25.39,0,0,0,0,0,0.775,0.684,0.731,0.711,0.788,0.714,1204.605186,3691.975004,64
AT1G63660,GM,0.99,1,,0,1,0,0,1,0.903,0.534,0.961,0.779,0.894,0.606,445.8581914,1716.582428,64
AT2G39930,GM,,4,46.47,0,0,0,0,0,0.899,0.836,0.952,0.908,0.735,0.585,331.005255,592.1040038,63
AT3G06200,GM,0.96,3,32.21,0,0,0,0,0,0.787,0.54,0.864,0.723,0.846,0.602,151.0487256,263.3482978,64
AT2G35020,GM,1,3,90.36,NA,NA,0,0,0,0.831,0.756,0.848,0.628,0.77,0.673,319.071175,1067.640445,64
AT1G23870,GM,1,11,82.47,1,0,0,0,0,0.742,0.504,0.905,0.86,0.733,0.829,118.0561082,797.6442989,64
AT2G04540,GM,0.92,3,38.01,0,0,0,0,1,0.809,0.655,0.857,0.815,0.888,0.775,100.6349974,157.3488296,64
AT2G29560,GM,,3,57.99,0,0,0,0,1,0.76,0.579,0.848,0.719,0.869,0.735,405.6632104,705.3491277,64
AT5G60540,GM,1,1,,0,0,0,0,0,0.634,0.59,0.799,0.654,0.85,0.855,309.7358187,889.2288719,64
AT3G58830,GM,0.99,1,,0,0,0,0,0,0.88,0.811,0.914,0.855,0.72,0.624,229.4358117,2157.610915,63
AT1G27600,GM,,4,42.25,0,0,0,0,0,0.584,0.455,0.788,0.798,0.743,0.67,145.3928714,258.1681721,64
AT2G40490,GM,1,2,51.37,0,0,0,0,0,0.924,0.778,0.959,0.928,0.903,0.719,725.1611667,3392.803168,64
AT5G17530,GM,,2,43.95,1,0,,,,0.785,0.664,0.776,0.679,0.85,0.784,231.1904647,385.931929,64
AT3G58730,GM,1,1,,0,0,0,0,0,0.797,0.77,0.922,0.796,0.766,0.668,2285.283192,3357.017122,64
AT3G23580,GM,1,2,73.48,1,0,0,0,0,0.714,0.624,0.796,0.768,0.812,0.74,385.996177,743.9051989,64
AT1G09780,GM,1,2,90.2,0,0,0,0,0,0.792,0.649,0.898,0.725,0.964,0.925,1311.275606,3855.558039,64
AT4G35260,GM,1,10,87.47,1,0,0,0,0,0.874,0.652,0.948,0.882,0.954,0.862,780.861886,1955.178011,64
AT1G60600,GM,0.97,1,,0,1,,,,0.933,0.865,0.952,0.917,0.874,0.756,126.0546062,557.9978531,52
AT5G13630,GM,1,1,,0,0,0,0,0,0.88,0.757,0.95,0.918,0.81,0.632,5440.936953,12688.9791,61
AT1G23310,GM,0.99,4,93.14,1,0,0,0,0,0.898,0.727,0.913,0.91,0.948,0.863,4354.810607,11766.87732,64
AT4G13940,GM,0.99,2,95.46,0,0,0,0,0,0.744,0.538,0.893,0.829,0.937,0.898,6294.531823,11907.05887,64
AT1G74960,GM,1,3,55.01,0,0,,,,0.664,0.601,0.92,0.759,0.813,0.79,558.7874693,2049.687025,64
AT2G17630,GM,0.84,2,85.42,1,0,0,0,0,0.896,0.682,0.706,0.639,0.911,0.853,157.6723397,574.107499,60
AT3G55360,GM,1,1,36.99,1,0,0,0,0,0.776,0.707,0.913,0.915,0.777,0.861,1203.515793,3415.665733,64
AT3G57180,GM,0.94,3,51.42,1,0,0,0,0,0.869,0.769,0.932,0.854,0.863,0.751,101.9360982,368.7401711,50
AT5G18280,GM,1,7,78.44,0,0,,,,0.733,0.482,0.874,0.785,0.786,0.716,112.823035,427.9613524,62
AT4G26900,GM,,1,,1,0,0,0,1,0.912,0.785,0.924,0.9,0.89,0.74,244.4351082,544.6202246,63
AT4G25080,GM,1,1,,1,0,,,,0.936,0.896,0.983,0.924,0.907,0.784,2315.198758,5953.637924,64
AT3G02600,GM,1,4,68.25,1,0,0,0,0,0.786,0.71,0.788,0.629,0.766,0.812,304.3548898,1112.158643,64
AT5G08280,GM,,1,,0,0,0,0,0,0.945,0.759,0.959,0.905,0.932,0.848,1753.439619,6420.291963,64
AT1G78690,GM,0.824,2,32.54,0,1,0,0,0,0.771,0.719,0.654,0.614,0.838,0.834,88.80317738,144.8403529,64
AT4G31990,GM,0.95,5,54.55,0,0,,,,0.765,0.731,0.881,0.746,0.926,0.851,1599.024658,3013.040208,64
AT3G60620,GM,0.99,2,76.11,1,0,0,0,0,0.868,0.76,0.897,0.836,0.782,0.559,92.23481128,252.6087572,63
AT4G38370,GM,,1,,1,0,0,0,1,0.901,0.791,0.881,0.822,0.833,0.752,193.5112425,1314.271928,64
AT5G40870,GM,0.98,6,89.03,0,0,0,0,0,0.852,0.737,0.904,0.831,0.877,0.776,227.4699349,645.014189,64
AT3G51520,GM,,1,,0,0,0,0,0,0.78,0.648,0.886,0.783,0.796,0.735,397.5035767,983.5771234,64
AT1G72040,GM,,1,,0,0,0,0,0,0.801,0.625,0.771,0.579,0.79,0.759,299.372387,1805.876502,64
AT5G20980,GM,,3,80.68,0,0,0,0,0,0.813,0.778,0.861,0.825,0.79,0.751,121.5902295,541.0898329,64
AT2G45150,GM,0.76,2,73.46,1,0,0,0,0,0.868,0.878,0.906,0.832,0.768,0.666,51.74194534,223.3268612,54
AT2G27730,GM,1,1,,NA,NA,,,,0.769,0.683,0.926,0.857,0.947,0.882,2220.283275,4949.797537,64
AT1G60550,GM,1,7,35.09,0,0,0,0,1,0.86,0.8,0.955,0.898,0.784,0.747,482.1247132,1665.298091,64
AT5G01650,GM,0.99,3,61.17,1,0,,,,0.88,0.688,0.89,0.726,0.908,0.843,1080.662655,2157.161956,64
AT5G16290,GM,1,2,70.05,1,0,0,0,,0.825,0.746,0.854,0.754,0.933,0.894,326.4265858,1139.484591,64
AT1G70310,GM,1,4,86.39,0,0,0,0,0,0.806,0.659,0.943,0.843,0.766,0.727,908.985681,2150.580217,64
AT4G09520,GM,0.99,2,91.43,0,0,0,0,0,0.735,0.641,0.731,0.642,0.755,0.757,106.2894871,204.4097208,64
AT4G31780,GM,1,3,61.04,0,1,,,,0.745,0.681,0.891,0.897,0.897,0.862,706.8507261,1939.639482,64
AT4G11640,GM,0.91,2,34.19,0,0,0,0,0,0.77,0.733,0.845,0.825,0.794,0.656,66.51014819,139.2630911,63
AT1G74260,GM,0.99,1,,0,0,0,0,0,0.901,0.666,0.948,0.84,0.92,0.744,520.7467664,1397.510038,64
AT3G60880,GM,0.98,2,87.67,1,0,,,,0.779,0.57,0.675,0.631,0.872,0.717,216.6758288,502.3220911,64
AT1G60490,GM,1,3,33.05,0,0,0,0,0,0.87,0.786,0.828,0.868,0.752,0.701,229.5532482,626.4837506,64
AT3G05170,GM,,2,65.47,0,0,0,0,0,0.812,0.644,0.814,0.697,0.827,0.793,52.47302653,336.6611828,63
AT2G30200,GM,1,1,,1,0,0,0,0,0.875,0.671,0.971,0.925,0.947,0.827,501.7256381,1958.105714,64
AT5G10160,GM,,2,83.52,0,0,0,0,0,0.861,0.743,0.854,0.845,0.935,0.876,597.0505241,2447.373863,64
AT1G08520,GM,1,3,38.76,0,0,0,0,1,0.913,0.84,0.96,0.897,0.822,0.63,1090.042293,3706.199098,64
AT2G30970,GM,1,5,51.26,0,0,0,0,0,0.778,0.621,0.818,0.633,0.898,0.798,753.7995929,3061.430869,64
AT5G08380,GM,1,4,65.93,1,0,0,1,0,0.879,0.726,0.875,0.775,0.821,0.724,422.4801991,808.8838923,63
AT4G22930,GM,1,1,,0,0,0,0,1,0.831,0.757,0.832,0.829,0.891,0.787,263.1125394,556.4778741,64
AT1G66680,GM,1,1,33.33,0,0,0,0,0,0.823,0.815,0.872,0.806,0.824,0.828,508.7614941,1005.819854,64
AT1G69740,GM,0.99,2,62.01,0,0,0,0,0,0.938,0.788,0.881,0.85,0.722,0.682,1242.767621,3054.336629,64
AT1G04410,GM,1,4,93.98,1,0,0,0,0,0.682,0.541,0.91,0.864,0.959,0.935,5680.8418,9561.572576,64
AT1G13250,GM,0.917,10,65.38,0,0,0,0,0,0.735,0.639,0.889,0.816,0.84,0.762,242.7362865,431.8094262,64
AT1G49820,GM,1,1,,1,0,0,0,0,0.82,0.668,0.847,0.726,0.794,0.623,256.8560214,815.6820115,63
AT1G77670,GM,1,11,30.23,1,0,0,0,0,0.831,0.754,0.831,0.789,0.931,0.632,423.6504271,725.2445275,64
AT1G23360,GM,0.99,2,36.51,0,0,0,0,1,0.924,0.856,0.917,0.805,0.695,0.749,356.444062,788.7166711,64
AT4G29130,GM,,6,85.96,0,0,0,0,0,0.905,0.783,0.892,0.791,0.83,0.794,660.5397445,4152.223512,64
AT1G74040,GM,1,5,91.82,NA,NA,0,0,0,0.913,0.824,0.952,0.883,0.881,0.745,238.5978457,573.0231427,64
AT2G19940,GM,1,1,,0,0,0,0,0,0.925,0.852,0.946,0.915,0.936,0.819,416.0215372,1084.841358,64
AT3G10940,GM,1,3,41.79,1,0,0,0,0,0.851,0.802,0.94,0.929,0.839,0.856,578.0889229,1284.2766,63
AT1G55090,GM,1,1,,1,0,0,0,0,0.739,0.736,0.834,0.785,0.848,0.757,181.6528838,549.9944248,63
AT4G00550,GM,0.98,2,54.78,1,0,0,0,0,0.813,0.761,0.76,0.668,0.704,0.703,90.81659458,445.390638,64
AT5G59440,GM,0.97,1,,0,0,,,,0.824,0.575,0.806,0.703,0.799,0.607,267.3890066,970.4355167,64
AT5G57850,GM,0.94,3,26.77,0,0,0,0,1,0.76,0.653,0.864,0.8,0.854,0.718,355.9906767,591.0655041,64
AT2G01350,GM,,1,,0,0,0,0,0,0.87,0.846,0.818,0.747,0.695,0.703,966.4398207,2264.400764,64
AT5G53460,GM,1,3,51.28,1,0,0,0,0,0.621,0.524,0.69,0.688,0.92,0.885,1176.63555,4635.021225,64
AT3G27190,GM,0.96,6,89.03,1,0,0,0,0,0.635,0.652,0.9,0.842,0.904,0.864,80.5108367,1277.318667,58
AT1G27450,GM,1,5,62.75,0,0,,,,0.898,0.628,0.837,0.651,0.869,0.805,2007.677691,3484.834122,64
AT2G21170,GM,0.98,2,62.3,0,0,0,0,0,0.912,0.888,0.965,0.958,0.81,0.774,2993.101969,6266.670877,63
AT2G30920,GM,1,1,,0,0,0,0,1,0.734,0.667,0.831,0.698,0.82,0.729,102.6018136,298.6144634,64
AT2G45440,GM,1,2,87.67,0,0,0,0,0,0.712,0.557,0.72,0.679,0.849,0.722,478.1812587,1298.982798,64
AT2G36310,GM,1,2,52.04,0,0,0,0,0,0.727,0.659,0.866,0.75,0.81,0.521,246.6758354,777.2122749,64
AT1G04620,GM,0.9,1,,0,0,0,0,1,0.806,0.706,0.765,0.73,0.889,0.861,177.3075267,530.1610461,57
AT1G61850,GM,0.99,1,40,0,0,0,0,1,0.711,0.628,0.828,0.775,0.867,0.728,129.5619762,920.138965,64
AT1G31220,GM,,3,24.12,0,0,0,0,0,0.67,0.608,0.861,0.779,0.732,0.604,127.6481821,251.5804229,63
AT2G04650,GM,0.86,5,77.67,0,0,0,0,0,0.716,0.563,0.776,0.691,0.831,0.81,51.56894042,261.4048561,61
AT3G52930,GM,1,8,93.58,0,0,0,0,0,0.827,0.7,0.815,0.629,0.968,0.913,6150.941494,18619.51327,64
AT3G61530,GM,,2,88.51,0,0,0,0,0,0.79,0.706,0.781,0.723,0.755,0.664,84.46397233,204.9856026,64
AT4G32180,GM,,5,63.27,0,0,0,0,0,0.809,0.688,0.863,0.736,0.875,0.809,277.7620137,785.0744818,63
AT2G33040,GM,1,3,30.77,1,0,0,0,0,0.822,0.677,0.868,0.738,0.95,0.869,3278.873617,5955.910214,64
AT2G31810,GM,1,2,70.05,0,0,0,0,0,0.763,0.564,0.748,0.659,0.896,0.735,781.550907,2870.106886,64
AT3G04940,GM,1,10,78.88,0,0,0,0,0,0.849,0.907,0.884,0.864,0.88,0.804,271.9215542,630.6045551,64
AT5G65720,GM,1,2,28.06,1,0,0,0,0,0.787,0.749,0.854,0.842,0.757,0.705,1015.591863,1811.714425,64
AT4G30340,GM,0.99,7,82.86,0,0,0,0,0,0.771,0.753,0.843,0.832,0.717,0.692,132.5630985,665.1318333,60
AT4G33680,GM,1,2,62.68,0,0,0,0,0,0.929,0.881,0.934,0.92,0.916,0.843,1980.392909,4579.364985,64
AT1G75330,GM,0.98,2,29.07,NA,NA,0,0,0,0.869,0.694,0.888,0.827,0.854,0.708,902.5576325,1696.013843,64
AT3G18680,GM,,2,54.13,NA,NA,0,0,0,0.941,0.82,0.97,0.927,0.893,0.726,556.4955745,1965.510493,63
AT5G21060,GM,1,6,36.84,1,0,,,,0.783,0.697,0.929,0.849,0.786,0.667,328.0213121,486.3266574,62
AT3G08610,GM,0.97,1,,0,0,0,0,0,0.824,0.804,0.865,0.679,0.858,0.719,6325.696913,9179.546397,64
AT5G64380,GM,0.98,4,46.56,1,0,0,0,0,0.891,0.845,0.915,0.866,0.82,0.682,149.0337859,525.9058432,59
AT4G33510,GM,1,3,78.88,0,0,0,0,0,0.814,0.705,0.642,0.562,0.78,0.619,1680.029948,3283.225305,64
AT1G79470,GM,0.88,2,84.49,1,0,0,0,0,0.905,0.483,0.89,0.698,0.785,0.672,95.3531752,548.9853434,63
AT1G06570,GM,,1,,0,0,0,0,0,0.882,0.723,0.929,0.891,0.887,0.847,234.1356835,2389.043372,63
AT1G03030,GM,1,1,,1,0,0,0,0,0.812,0.799,0.644,0.672,0.831,0.613,194.6441774,1067.311552,64
AT3G57650,GM,1,5,59.67,1,0,0,0,0,0.749,0.718,0.843,0.815,0.858,0.669,616.2149076,1202.261183,64
AT1G26190,GM,0.897,4,66.12,1,0,0,0,0,0.707,0.606,0.868,0.787,0.866,0.895,65.50058192,443.4924899,64
AT3G23940,GM,1,1,,0,0,0,0,1,0.954,0.814,0.934,0.906,0.947,0.804,548.0124016,2138.494631,64
AT4G29540,GM,0.862,3,28.93,0,1,,,,0.742,0.608,0.78,0.63,0.855,0.778,16.98266297,67.65779684,19
AT4G11010,GM,1,5,87.82,0,1,0,0,0,0.817,0.652,0.873,0.863,0.942,0.857,2945.519821,5989.31232,64
AT3G47390,GM,0.811,2,24.87,1,0,0,0,0,0.818,0.794,0.729,0.5,0.717,0.676,71.33470273,133.7754832,63
AT5G23670,GM,,5,91.21,1,0,0,0,0,0.818,0.76,0.73,0.68,0.85,0.608,243.0726565,3619.232489,64
AT3G10030,GM,1,2,54.13,1,0,0,0,0,0.848,0.726,0.775,0.672,0.707,0.68,173.762146,609.3426551,64
AT1G74340,GM,,1,,NA,NA,0,0,0,0.692,0.533,0.847,0.843,0.862,0.846,415.9114173,745.6761979,64
AT4G39540,GM,0.99,3,70.98,0,0,,,,0.772,0.735,0.731,0.639,0.859,0.811,379.6025272,604.4734166,64
AT4G34740,GM,0.99,3,90.93,NA,NA,0,0,0,0.789,0.651,0.876,0.815,0.911,0.761,136.8835074,734.1058039,64
AT3G48560,GM,1,6,27.66,1,0,0,0,0,0.815,0.784,0.914,0.857,0.794,0.693,2297.827787,6645.890465,64
AT5G42870,GM,1,2,62.92,0,0,0,0,0,0.741,0.642,0.833,0.773,0.703,0.687,99.05057526,347.7499213,64
AT4G24830,GM,1,1,,NA,NA,0,0,0,0.893,0.722,0.766,0.771,0.926,0.915,571.6985795,1819.095312,64
AT2G33220,GM,1,2,97.2,0,0,0,0,0,0.861,0.827,0.788,0.749,0.757,0.703,1185.76223,1791.171211,64
AT1G79750,GM,1,6,77.82,0,1,0,0,0,0.769,0.784,0.716,0.632,0.793,0.761,738.1330783,1670.606927,64
AT4G05400,GM,,2,69.32,NA,NA,,,,0.782,0.626,0.87,0.84,0.887,0.71,167.9750773,657.5779537,64
AT3G14270,GM,,4,57.04,0,0,0,0,0,0.792,0.754,0.842,0.758,0.836,0.68,325.9486476,1364.021435,64
AT5G64860,GM,0.949,1,33.53,1,0,0,0,0,0.935,0.862,0.964,0.931,0.949,0.869,412.0683362,972.3070959,62
AT4G32360,GM,0.85,1,37.4,1,0,0,0,1,0.798,0.822,0.761,0.747,0.697,0.542,109.3522065,194.0443807,64
AT5G47840,GM,0.99,11,58.12,NA,NA,0,0,0,0.903,0.858,0.969,0.914,0.863,0.737,1263.251657,3153.80302,64
AT4G34840,GM,0.94,2,63.93,0,0,0,0,0,0.758,0.746,0.748,0.805,0.784,0.635,75.82173665,425.4202418,63
AT5G42740,GM,1,2,30.77,1,0,0,0,0,0.774,0.755,0.884,0.802,0.85,0.812,516.1277745,1084.016447,64
AT3G57610,GM,1,1,,1,0,0,0,0,0.96,0.741,0.948,0.884,0.844,0.701,1634.010578,3507.696719,64
AT3G17970,GM,1,3,51.68,NA,NA,0,0,0,0.67,0.488,0.8,0.715,0.84,0.706,36.56748337,208.6106082,45
AT5G46290,GM,1,3,50.8,0,0,,,,0.923,0.784,0.967,0.88,0.913,0.783,1716.570997,8031.044119,64
AT4G38800,GM,,2,63.93,NA,NA,0,0,0,0.862,0.821,0.832,0.771,0.719,0.687,3167.80358,6559.043328,64
AT3G63250,GM,1,3,66.97,0,0,0,0,0,0.874,0.815,0.838,0.719,0.722,0.476,334.4607727,969.1555014,64
AT2G27820,GM,0.99,6,85.18,NA,NA,0,0,0,0.771,0.759,0.797,0.797,0.785,0.753,271.8400024,705.7403844,64
AT4G23660,GM,0.98,1,,0,0,,,,0.814,0.773,0.817,0.598,0.832,0.731,71.44852301,410.9243337,64
AT5G11770,GM,0.97,2,47.55,0,0,0,0,0,0.78,0.77,0.929,0.836,0.916,0.839,2846.437068,6582.393003,64
AT1G03475,GM,1,2,80.51,0,0,0,0,0,0.918,0.765,0.959,0.929,0.915,0.817,732.8172759,2885.76145,64
AT1G18640,GM,,1,,0,0,,,,0.87,0.829,0.818,0.638,0.82,0.711,231.9586919,426.4431099,61
AT5G03300,GM,1,4,92.42,0,0,0,0,0,0.875,0.776,0.863,0.82,0.924,0.921,1979.898616,4158.67985,64
AT2G02050,GM,0.93,1,,0,0,0,0,0,0.803,0.54,0.863,0.736,0.888,0.793,1315.364803,2222.164957,64
AT2G43710,GM,1,7,80.74,0,0,,,,0.664,0.459,0.893,0.749,0.734,0.668,1269.058342,4187.413403,64
AT1G50460,GM,0.95,6,77.22,NA,NA,0,0,0,0.795,0.779,0.703,0.639,0.929,0.897,177.0986949,391.0110718,64
AT3G57050,GM,1,4,35.34,1,0,0,0,0,0.772,0.752,0.899,0.839,0.723,0.632,632.30149,1319.354315,64
AT2G35370,GM,1,3,92.77,0,0,0,0,0,0.874,0.817,0.985,0.947,0.769,0.725,4933.52489,12790.66781,59
AT2G44350,GM,,5,85.11,0,1,,,,0.823,0.814,0.854,0.815,0.946,0.849,1171.757159,3933.493897,64
AT5G63400,GM,1,11,86.92,0,0,0,0,0,0.776,0.523,0.768,0.611,0.958,0.943,830.6189978,1659.440216,64
AT4G22340,GM,1,3,79.29,1,0,,,,0.802,0.782,0.727,0.597,0.855,0.744,140.5462972,364.0634916,64
AT2G16570,GM,0.879,3,90.93,0,0,0,0,0,0.676,0.597,0.883,0.876,0.717,0.606,33.57055662,565.9785429,37
AT1G11790,GM,0.761,6,62.83,0,0,0,0,,0.784,0.604,0.697,0.653,0.818,0.883,298.9709899,743.3120377,64
AT1G16350,GM,1,2,84.49,NA,NA,0,0,0,0.885,0.701,0.903,0.8,0.823,0.685,453.7632092,1073.63054,63
AT5G13050,GM,,1,,0,1,0,0,0,0.729,0.816,0.821,0.736,0.708,0.587,129.5746622,225.0116597,64
AT5G10240,GM,1,3,94.2,0,0,0,0,0,0.91,0.783,0.854,0.787,0.68,0.589,216.6222687,506.2897046,64
